Fast Lane Motors|876 Market Street|619-555-4433
42983|2008|Chevrolet|Silverado|Truck|Red|134221|9800.00
67812|2022|Tesla|Model 3|Sedan|White|23789|31999.00
34901|2023|Kia|Sportage|SUV|Red|18234|25995.00
45872|2022|Toyota|Highlander|SUV|White|24189|33950.00
57012|2024|Chevrolet|Malibu|Sedan|Black|1302|8995.00
61345|2023|Subaru|Crosstrek|SUV|Orange|9221|8700.00
73456|2022|Nissan|Sentra|Sedan|Gray|31789|20950.00
81234|2024|Hyundai|Santa Fe|SUV|Blue|4500|9450.00
92378|2023|Mazda|CX-30|SUV|Green|15890|26495.00
18764|2015|Chrysler|200|Sedan|Black|97812|7200.00
23451|2009|Ford|F-150|Truck|Silver|143212|8800.00
34562|2011|Volkswagen|Passat|Sedan|Blue|128345|4500.00
45231|2004|Buick|LeSabre|Sedan|Tan|189432|1900.00
56287|2016|Jeep|Patriot|SUV|White|112345|6700.00
67890|2010|Honda|Fit|Hatchback|Red|154321|4100.00
